County,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
San Bernardino,1/1/2010,0.05,0.0,229.0,4.1,57.3,27.2,82.0,2.2,52.2,41.9
San Bernardino,1/2/2010,0.07,0.0,269.0,4.4,61.9,28.1,76.0,3.0,71.6,42.1
San Bernardino,1/3/2010,0.07,0.0,275.0,3.7,63.1,26.2,76.0,2.4,58.0,41.8
San Bernardino,1/4/2010,0.05,0.0,205.0,3.5,57.7,27.5,69.0,2.1,51.0,41.5
San Bernardino,1/5/2010,0.07,0.0,272.0,3.4,63.0,24.6,71.0,2.2,53.4,41.1
San Bernardino,1/6/2010,0.07,0.0,243.0,3.7,65.6,29.7,63.0,2.1,49.7,41.6
San Bernardino,1/7/2010,0.07,0.0,350.0,4.5,65.7,32.0,64.0,3.1,75.2,43.0
San Bernardino,1/8/2010,0.07,0.0,224.0,5.2,61.3,34.8,73.0,2.9,70.2,43.1
San Bernardino,1/9/2010,0.06,0.0,241.0,4.5,61.0,29.4,81.0,2.5,59.8,43.1
San Bernardino,1/10/2010,0.07,0.0,271.0,4.4,65.5,33.7,75.0,2.5,59.4,44.9
San Bernardino,1/11/2010,0.07,0.0,267.0,4.2,65.5,30.5,69.0,2.4,58.3,44.7
San Bernardino,1/12/2010,0.1,0.0,225.0,4.8,67.4,35.1,68.0,6.0,144.6,44.6
San Bernardino,1/13/2010,0.12,0.0,267.0,6.2,58.7,43.2,70.0,10.1,243.2,45.4
San Bernardino,1/14/2010,0.08,0.0,292.0,4.5,59.6,33.1,82.0,4.0,96.7,44.4
San Bernardino,1/15/2010,0.05,0.0,202.0,3.8,57.9,28.4,68.0,2.4,57.6,43.5
San Bernardino,1/16/2010,0.08,0.0,191.0,4.9,60.8,34.6,67.0,5.5,131.8,43.4
San Bernardino,1/17/2010,0.07,0.18,211.0,6.3,57.7,32.8,82.0,7.0,168.5,43.7
San Bernardino,1/18/2010,0.04,0.94,109.0,9.1,52.7,44.1,86.0,10.6,253.7,45.1
San Bernardino,1/19/2010,0.03,0.54,88.0,6.7,50.3,34.3,94.0,8.5,203.1,44.1
San Bernardino,1/20/2010,0.02,1.6,94.0,7.1,46.1,32.5,97.0,8.5,204.0,42.6
San Bernardino,1/21/2010,0.01,1.72,42.0,7.2,46.0,35.2,95.0,11.0,263.3,41.5
San Bernardino,1/22/2010,0.05,0.17,206.0,6.4,43.2,35.3,88.0,9.0,214.9,41.6
San Bernardino,1/23/2010,0.07,0.0,314.0,5.8,49.3,32.5,87.0,6.0,144.8,41.3
San Bernardino,1/24/2010,0.06,0.0,301.0,5.6,52.2,28.4,94.0,2.2,53.3,41.6
San Bernardino,1/25/2010,0.06,0.0,267.0,6.4,53.2,30.8,94.0,2.5,60.5,42.7
San Bernardino,1/26/2010,0.05,0.38,190.0,7.1,56.2,31.7,93.0,4.0,95.5,42.9
San Bernardino,1/27/2010,0.02,0.01,132.0,8.4,50.3,38.2,96.0,3.0,70.9,44.0
San Bernardino,1/28/2010,0.07,0.0,324.0,6.4,55.4,32.3,97.0,3.1,75.1,44.0
San Bernardino,1/29/2010,0.05,0.0,214.0,6.3,55.7,33.3,86.0,2.4,58.6,44.0
San Bernardino,1/30/2010,0.07,0.0,273.0,6.7,57.7,32.2,94.0,2.9,70.1,44.2
San Bernardino,1/31/2010,0.07,0.0,302.0,6.4,56.0,30.5,92.0,2.6,62.8,44.3
San Bernardino,2/1/2010,0.05,0.0,234.0,6.7,56.5,31.6,92.0,2.3,54.9,44.2
San Bernardino,2/2/2010,0.05,0.0,244.0,6.9,55.3,33.1,94.0,2.4,56.7,44.8
San Bernardino,2/3/2010,0.08,0.0,332.0,6.4,57.8,32.3,93.0,2.9,68.7,44.9
San Bernardino,2/4/2010,0.09,0.0,291.0,7.2,57.8,33.0,95.0,7.5,179.0,44.9
San Bernardino,2/5/2010,0.06,0.0,151.0,8.0,52.3,45.5,80.0,10.6,254.4,45.3
San Bernardino,2/6/2010,0.04,1.57,173.0,8.8,53.3,41.3,94.0,7.6,182.4,45.7
San Bernardino,2/7/2010,0.09,0.0,333.0,6.2,52.1,36.1,87.0,8.2,196.7,45.1
San Bernardino,2/8/2010,0.08,0.0,341.0,6.6,56.6,31.9,94.0,3.0,71.5,44.9
San Bernardino,2/9/2010,0.04,0.2,169.0,7.3,49.1,34.4,95.0,6.6,158.1,45.3
San Bernardino,2/10/2010,0.04,0.01,217.0,7.2,51.7,35.3,95.0,3.6,85.3,44.7
San Bernardino,2/11/2010,0.08,0.0,330.0,6.5,58.7,31.2,95.0,3.2,77.0,45.0
San Bernardino,2/12/2010,0.09,0.0,362.0,6.9,60.0,36.1,93.0,2.9,69.6,46.3
San Bernardino,2/13/2010,0.09,0.0,365.0,6.8,62.7,32.3,93.0,2.5,59.9,46.7
San Bernardino,2/14/2010,0.1,0.0,370.0,6.7,67.0,35.3,87.0,2.8,67.5,47.2
San Bernardino,2/15/2010,0.11,0.0,377.0,6.2,67.8,34.0,86.0,2.7,64.8,47.8
San Bernardino,2/16/2010,0.11,0.0,377.0,6.0,68.5,35.0,80.0,3.0,71.5,48.2
San Bernardino,2/17/2010,0.11,0.0,369.0,6.6,67.2,37.5,80.0,3.0,70.8,48.8
San Bernardino,2/18/2010,0.13,0.0,358.0,6.7,68.5,41.0,74.0,5.4,128.5,49.3
San Bernardino,2/19/2010,0.13,0.08,331.0,6.8,53.2,41.9,84.0,13.4,320.7,48.7
San Bernardino,2/20/2010,0.08,0.0,262.0,7.7,53.5,39.7,86.0,9.3,224.3,47.8
San Bernardino,2/21/2010,0.1,0.03,341.0,8.1,54.4,41.5,83.0,11.0,264.2,47.5
San Bernardino,2/22/2010,0.11,0.0,338.0,4.8,50.6,33.1,84.0,8.7,208.2,47.3
San Bernardino,2/23/2010,0.1,0.0,362.0,3.6,56.5,26.3,76.0,2.5,59.6,46.0
San Bernardino,2/24/2010,0.13,0.0,271.0,5.6,60.3,43.8,75.0,8.5,204.9,47.1
San Bernardino,2/25/2010,0.11,0.0,414.0,7.2,63.3,41.7,88.0,3.8,91.8,48.5
San Bernardino,2/26/2010,0.12,0.0,273.0,5.5,63.7,39.9,74.0,6.8,162.5,48.5
San Bernardino,2/27/2010,0.06,0.71,198.0,8.0,53.0,38.6,92.0,8.3,199.1,48.2
San Bernardino,2/28/2010,0.11,0.0,424.0,7.3,60.3,38.2,90.0,3.4,80.5,48.4
San Bernardino,3/1/2010,0.11,0.0,382.0,7.3,63.6,37.8,90.0,3.6,86.0,49.6
San Bernardino,3/2/2010,0.14,0.0,407.0,8.2,57.5,45.4,81.0,9.9,238.2,50.1
San Bernardino,3/3/2010,0.13,0.0,421.0,7.4,55.0,40.8,85.0,9.6,229.5,49.3
San Bernardino,3/4/2010,0.15,0.0,433.0,5.1,52.5,35.3,78.0,10.8,259.2,48.2
San Bernardino,3/5/2010,0.12,0.0,409.0,4.8,59.1,29.3,92.0,4.1,98.3,47.3
San Bernardino,3/6/2010,0.09,0.27,262.0,6.5,56.1,41.1,84.0,7.2,171.7,47.9
San Bernardino,3/7/2010,0.06,0.12,236.0,7.6,54.5,38.9,91.0,5.7,136.4,47.6
San Bernardino,3/8/2010,0.13,0.0,445.0,8.1,55.4,43.1,84.0,11.9,285.4,48.0
San Bernardino,3/9/2010,0.16,0.0,473.0,4.6,47.3,34.3,80.0,17.7,424.7,46.6
San Bernardino,3/10/2010,0.15,0.0,435.0,4.4,51.7,34.2,70.0,9.7,232.7,45.4
San Bernardino,3/11/2010,0.13,0.0,476.0,4.0,57.8,28.0,87.0,3.0,72.0,45.9
San Bernardino,3/12/2010,0.15,0.0,471.0,5.1,65.4,31.6,80.0,5.1,123.3,47.4
San Bernardino,3/13/2010,0.17,0.0,471.0,5.6,56.3,36.9,66.0,9.5,228.2,48.4
San Bernardino,3/14/2010,0.14,0.0,495.0,3.8,59.6,29.2,82.0,3.8,90.2,48.6
San Bernardino,3/15/2010,0.16,0.0,477.0,5.0,67.9,32.2,73.0,4.3,104.3,48.5
San Bernardino,3/16/2010,0.18,0.0,491.0,5.8,71.4,37.5,79.0,4.5,108.0,49.8
San Bernardino,3/17/2010,0.16,0.0,498.0,5.7,75.7,37.7,76.0,2.6,61.5,51.2
San Bernardino,3/18/2010,0.19,0.0,491.0,6.3,75.1,42.2,68.0,5.7,135.7,52.5
San Bernardino,3/19/2010,0.18,0.0,512.0,4.0,70.8,43.5,71.0,3.8,92.3,53.4
San Bernardino,3/20/2010,0.19,0.0,468.0,4.1,71.1,37.7,56.0,5.3,127.8,52.4
San Bernardino,3/21/2010,0.15,0.0,400.0,5.5,73.8,41.2,68.0,3.7,89.7,52.4
San Bernardino,3/22/2010,0.19,0.0,459.0,5.6,70.6,40.9,67.0,6.9,166.3,52.8
San Bernardino,3/23/2010,0.19,0.0,521.0,4.0,66.4,42.6,67.0,5.3,127.8,52.9
San Bernardino,3/24/2010,0.19,0.0,496.0,4.5,71.6,34.6,60.0,6.0,143.2,52.2
San Bernardino,3/25/2010,0.22,0.0,494.0,5.7,63.5,45.7,58.0,12.0,287.5,52.7
San Bernardino,3/26/2010,0.17,0.0,518.0,5.0,64.5,42.7,64.0,6.1,146.8,52.1
San Bernardino,3/27/2010,0.18,0.0,531.0,3.5,63.8,35.5,71.0,4.7,113.9,52.6
San Bernardino,3/28/2010,0.17,0.0,532.0,3.4,71.7,34.1,53.0,2.8,66.1,52.3
San Bernardino,3/29/2010,0.24,0.0,669.0,3.6,78.1,57.3,58.0,10.7,257.3,54.6
San Bernardino,3/30/2010,0.24,0.0,569.0,6.2,67.2,47.9,74.0,11.1,267.1,53.6
San Bernardino,3/31/2010,0.11,0.11,324.0,6.6,51.9,38.4,79.0,12.4,296.7,51.7
San Bernardino,4/1/2010,0.16,0.0,606.0,5.3,57.8,37.7,77.0,6.6,157.6,51.4
San Bernardino,4/2/2010,0.16,0.0,523.0,6.0,63.2,36.8,74.0,6.3,151.9,52.1
San Bernardino,4/3/2010,0.19,0.0,565.0,6.9,67.2,40.1,78.0,8.3,199.1,52.7
San Bernardino,4/4/2010,0.18,0.0,483.0,6.4,59.2,41.7,77.0,12.3,295.3,51.6
San Bernardino,4/5/2010,0.14,0.01,383.0,7.0,56.7,39.6,78.0,12.1,289.6,50.4
San Bernardino,4/6/2010,0.17,0.0,629.0,4.1,63.3,30.0,83.0,3.3,78.5,50.6
San Bernardino,4/7/2010,0.2,0.0,633.0,3.9,65.9,33.9,70.0,4.4,106.3,52.4
San Bernardino,4/8/2010,0.19,0.0,636.0,4.4,74.5,35.4,64.0,3.0,72.5,53.7
San Bernardino,4/9/2010,0.24,0.0,630.0,5.8,73.2,41.2,64.0,7.9,190.5,54.7
San Bernardino,4/10/2010,0.26,0.0,584.0,5.6,64.6,51.9,55.0,11.7,279.8,54.1
San Bernardino,4/11/2010,0.2,0.0,523.0,7.3,56.1,45.6,77.0,14.7,352.9,52.7
San Bernardino,4/12/2010,0.18,0.58,622.0,7.6,54.0,40.2,98.0,9.5,228.3,52.1
San Bernardino,4/13/2010,0.17,0.0,644.0,6.6,63.5,37.9,81.0,4.4,104.7,52.8
San Bernardino,4/14/2010,0.19,0.0,723.0,6.7,68.4,32.0,91.0,5.1,123.1,55.8
San Bernardino,4/15/2010,0.2,0.0,557.0,7.7,73.5,40.1,88.0,5.4,130.4,56.1
San Bernardino,4/16/2010,0.21,,,,,,,,,
San Bernardino,4/17/2010,0.21,,,,,,,,,
San Bernardino,4/18/2010,0.21,,,,,,,,,
San Bernardino,4/19/2010,0.21,,,,,,,,,
San Bernardino,4/20/2010,0.21,,,,,,,,,
San Bernardino,4/21/2010,0.21,,,,,,,,,
San Bernardino,4/22/2010,0.21,,,,,,,,,
San Bernardino,4/23/2010,0.2,0.0,674.0,7.4,69.9,33.0,96.0,5.6,133.6,54.0
San Bernardino,4/24/2010,0.22,0.0,677.0,7.4,78.1,39.9,95.0,3.8,91.1,56.8
San Bernardino,4/25/2010,0.24,0.0,672.0,7.8,79.6,42.6,81.0,4.1,98.6,58.7
San Bernardino,4/26/2010,0.24,0.0,666.0,7.9,82.6,47.2,76.0,3.5,83.5,60.3
San Bernardino,4/27/2010,0.28,0.0,614.0,8.3,75.1,50.1,78.0,10.7,255.8,60.1
San Bernardino,4/28/2010,0.23,0.0,675.0,8.7,62.0,44.3,85.0,15.9,380.7,57.9
San Bernardino,4/29/2010,0.24,0.0,694.0,4.6,55.9,40.0,67.0,13.0,312.5,55.5
San Bernardino,4/30/2010,0.23,0.0,690.0,4.3,64.5,39.7,59.0,6.9,164.9,55.3
San Bernardino,5/1/2010,0.23,0.0,687.0,5.7,72.2,38.2,68.0,6.8,162.5,56.6
San Bernardino,5/2/2010,0.23,0.0,694.0,5.6,74.5,43.5,80.0,4.9,118.6,57.9
San Bernardino,5/3/2010,0.26,0.0,692.0,5.9,78.3,44.2,63.0,6.0,143.3,58.8
San Bernardino,5/4/2010,0.27,0.0,695.0,7.2,84.1,49.9,61.0,6.1,146.5,59.9
San Bernardino,5/5/2010,0.29,0.0,540.0,7.3,80.4,32.0,74.0,10.9,261.0,61.9
San Bernardino,5/6/2010,0.24,0.0,706.0,3.9,78.1,49.2,46.0,4.6,111.4,60.8
San Bernardino,5/7/2010,0.24,0.0,697.0,5.2,80.6,42.4,56.0,4.0,95.5,61.4
San Bernardino,5/8/2010,0.27,0.0,689.0,7.0,78.7,49.4,61.0,6.4,153.5,62.1
San Bernardino,5/9/2010,0.25,0.0,683.0,8.2,65.6,46.7,75.0,11.5,276.3,60.9
San Bernardino,5/10/2010,0.23,0.0,695.0,7.6,62.7,39.7,82.0,10.6,254.2,59.1
San Bernardino,5/11/2010,0.25,0.0,718.0,5.0,64.2,40.2,72.0,10.7,256.4,58.0
San Bernardino,5/12/2010,0.23,0.0,705.0,5.6,73.5,37.1,69.0,4.0,97.2,58.8
San Bernardino,5/13/2010,0.23,0.0,588.0,6.5,75.8,48.9,66.0,4.3,103.4,60.6
San Bernardino,5/14/2010,0.23,0.0,629.0,7.0,79.6,48.5,64.0,3.9,94.1,61.9
San Bernardino,5/15/2010,0.24,0.0,636.0,6.6,82.9,49.5,59.0,3.7,87.7,63.1
San Bernardino,5/16/2010,0.29,0.0,706.0,7.0,82.9,51.8,62.0,6.4,153.1,63.6
San Bernardino,5/17/2010,0.17,0.0,390.0,9.9,66.4,49.6,83.0,11.0,263.7,62.2
San Bernardino,5/18/2010,0.22,0.0,646.0,9.9,66.6,48.0,82.0,8.8,212.3,60.9
San Bernardino,5/19/2010,0.27,0.0,829.0,8.0,82.8,32.0,83.0,9.1,219.2,63.4
San Bernardino,5/20/2010,0.33,0.0,716.0,7.2,82.5,58.8,55.0,10.6,253.4,63.1
San Bernardino,5/21/2010,0.3,0.0,710.0,6.8,77.0,50.6,50.0,9.8,234.9,62.5
San Bernardino,5/22/2010,0.23,0.0,656.0,6.9,63.0,43.3,67.0,11.2,268.7,61.2
San Bernardino,5/23/2010,0.25,0.0,707.0,4.9,56.3,41.2,65.0,12.3,295.9,59.5
San Bernardino,5/24/2010,0.24,0.0,714.0,6.4,67.1,42.3,74.0,8.2,198.0,59.3
San Bernardino,5/25/2010,0.25,0.0,688.0,7.0,71.4,39.9,77.0,6.6,158.8,60.5
San Bernardino,5/26/2010,0.27,0.0,697.0,7.3,68.2,50.6,52.0,10.3,246.7,60.6
San Bernardino,5/27/2010,0.24,0.0,685.0,9.8,65.0,51.3,78.0,11.7,281.3,60.2
San Bernardino,5/28/2010,0.23,0.01,660.0,6.7,68.5,46.7,77.0,7.5,180.3,60.6
San Bernardino,5/29/2010,0.25,0.0,742.0,4.9,78.5,39.8,72.0,4.1,98.6,61.2
San Bernardino,5/30/2010,0.26,0.0,739.0,6.2,85.9,44.4,54.0,3.4,81.4,62.7
San Bernardino,5/31/2010,0.31,0.0,728.0,7.0,83.4,51.3,56.0,7.2,172.1,63.9
San Bernardino,6/1/2010,0.26,0.0,632.0,9.9,77.4,55.1,65.0,8.2,196.6,63.7
San Bernardino,6/2/2010,0.25,0.0,678.0,10.5,87.2,51.6,78.0,4.7,111.8,64.8
San Bernardino,6/3/2010,0.28,0.0,693.0,10.4,88.2,56.1,68.0,5.5,131.9,66.0
San Bernardino,6/4/2010,0.28,0.0,710.0,12.5,95.5,59.1,70.0,4.8,115.9,67.2
San Bernardino,6/5/2010,0.29,0.0,723.0,12.8,97.8,59.8,73.0,4.8,115.5,68.7
San Bernardino,6/6/2010,0.31,0.0,710.0,12.9,96.4,64.1,70.0,6.1,147.5,69.6
San Bernardino,6/7/2010,0.32,0.0,714.0,13.3,90.0,60.5,75.0,8.3,198.3,69.1
San Bernardino,6/8/2010,0.31,0.0,707.0,13.2,86.1,59.6,77.0,8.4,201.9,68.6
San Bernardino,6/9/2010,0.29,0.0,710.0,12.6,87.5,57.9,84.0,8.3,199.7,68.3
San Bernardino,6/10/2010,0.27,0.0,719.0,11.5,78.7,56.2,80.0,9.5,227.4,67.4
San Bernardino,6/11/2010,0.27,0.0,725.0,7.8,77.6,50.6,85.0,7.4,177.4,66.6
San Bernardino,6/12/2010,0.25,0.01,659.0,8.3,80.7,55.3,69.0,6.0,143.2,66.3
San Bernardino,6/13/2010,0.26,0.01,712.0,8.7,85.0,53.8,71.0,4.6,110.1,67.2
San Bernardino,6/14/2010,0.28,0.0,731.0,7.6,90.7,55.8,53.0,4.3,104.3,68.5
San Bernardino,6/15/2010,0.34,0.0,730.0,7.5,86.1,58.7,53.0,8.7,207.7,68.2
San Bernardino,6/16/2010,0.33,0.0,744.0,6.2,82.0,57.7,51.0,9.0,214.8,66.5
San Bernardino,6/17/2010,0.29,0.0,748.0,7.6,85.8,49.6,68.0,5.8,139.6,66.9
San Bernardino,6/18/2010,0.31,0.0,738.0,7.8,81.1,52.8,62.0,7.7,185.5,66.7
San Bernardino,6/19/2010,0.31,0.0,747.0,6.6,81.3,50.6,67.0,7.8,186.2,66.0
San Bernardino,6/20/2010,0.3,0.0,743.0,7.1,81.6,50.7,57.0,7.2,172.8,65.8
San Bernardino,6/21/2010,0.3,0.0,742.0,7.8,78.7,57.3,60.0,9.0,216.1,65.7
San Bernardino,6/22/2010,0.29,0.0,743.0,7.4,90.3,49.9,62.0,5.1,122.3,66.5
San Bernardino,6/23/2010,0.31,0.01,747.0,7.4,90.2,56.2,53.0,6.2,149.4,67.4
San Bernardino,6/24/2010,0.34,0.0,747.0,7.3,89.5,58.2,48.0,7.5,181.0,67.5
San Bernardino,6/25/2010,0.33,0.0,722.0,7.8,85.6,54.9,57.0,8.2,197.5,67.0
San Bernardino,6/26/2010,0.29,0.0,714.0,10.5,91.4,62.1,61.0,6.9,166.1,67.5
San Bernardino,6/27/2010,0.29,0.01,725.0,10.5,98.0,58.7,70.0,4.6,110.7,69.1
San Bernardino,6/28/2010,0.32,0.0,881.0,8.4,96.9,32.0,58.0,7.7,185.2,70.7
San Bernardino,6/29/2010,0.34,0.0,743.0,9.3,93.9,62.8,58.0,7.6,183.1,69.7
San Bernardino,6/30/2010,0.3,0.0,731.0,10.2,94.2,59.5,70.0,5.2,125.7,69.6
San Bernardino,7/1/2010,0.33,0.0,748.0,8.0,90.9,58.6,64.0,6.3,151.2,69.5
San Bernardino,7/2/2010,0.33,0.01,743.0,7.1,88.0,54.3,58.0,7.2,173.6,68.6
San Bernardino,7/3/2010,0.32,0.0,729.0,10.5,86.1,61.5,58.0,9.7,232.8,68.3
San Bernardino,7/4/2010,0.29,0.0,733.0,10.2,93.4,56.4,76.0,6.0,143.0,69.0
San Bernardino,7/5/2010,0.31,0.0,727.0,9.8,93.3,57.4,69.0,6.2,148.3,69.8
San Bernardino,7/6/2010,0.32,0.0,730.0,8.6,89.8,57.0,74.0,6.9,164.4,69.5
San Bernardino,7/7/2010,0.31,0.0,744.0,7.4,90.9,53.7,64.0,5.6,133.3,68.9
San Bernardino,7/8/2010,0.32,0.0,725.0,8.2,96.5,57.1,64.0,5.9,140.5,69.4
San Bernardino,7/9/2010,0.28,0.0,612.0,8.5,98.1,58.1,54.0,4.9,118.3,69.7
San Bernardino,7/10/2010,0.26,0.02,531.0,10.1,96.8,67.7,47.0,5.4,129.3,70.6
San Bernardino,7/11/2010,0.29,0.0,587.0,9.7,93.3,67.7,49.0,6.3,150.4,70.6
San Bernardino,7/12/2010,0.33,0.0,692.0,9.7,91.1,67.9,48.0,7.5,180.1,70.2
San Bernardino,7/13/2010,0.3,0.0,700.0,12.1,93.9,63.1,60.0,5.2,124.8,70.6
San Bernardino,7/14/2010,0.3,0.0,690.0,12.6,98.9,63.4,64.0,4.4,106.0,71.9
San Bernardino,7/15/2010,0.26,0.0,576.0,14.5,101.8,69.4,56.0,3.7,89.4,72.8
San Bernardino,7/16/2010,0.32,0.0,676.0,15.4,97.1,71.1,64.0,6.3,152.0,73.4
San Bernardino,7/17/2010,0.32,0.0,674.0,14.7,100.2,72.1,56.0,6.3,151.1,73.6
San Bernardino,7/18/2010,0.33,0.0,677.0,13.6,99.3,69.5,60.0,6.6,157.6,73.7
San Bernardino,7/19/2010,0.35,0.0,688.0,12.3,97.4,70.2,54.0,7.8,187.4,73.2
San Bernardino,7/20/2010,0.33,0.0,690.0,11.5,95.7,66.2,59.0,7.6,181.5,72.3
San Bernardino,7/21/2010,0.34,0.0,954.0,8.7,92.6,,55.0,11.0,264.6,71.6
San Bernardino,7/22/2010,0.32,0.0,696.0,9.5,93.3,61.7,70.0,6.8,162.2,71.1
San Bernardino,7/23/2010,0.32,0.0,683.0,9.0,95.5,62.3,49.0,5.6,134.1,71.2
San Bernardino,7/24/2010,0.3,0.0,649.0,10.4,97.8,64.5,46.0,4.9,117.5,71.7
San Bernardino,7/25/2010,0.29,0.0,571.0,10.3,96.8,65.8,53.0,6.6,157.6,72.0
San Bernardino,7/26/2010,0.31,0.0,629.0,7.9,92.3,63.3,49.0,7.1,170.1,71.1
San Bernardino,7/27/2010,0.3,0.0,681.0,7.8,94.7,62.0,54.0,5.5,131.7,70.7
San Bernardino,7/28/2010,0.32,0.0,679.0,7.2,90.9,62.4,47.0,6.0,144.0,70.7
San Bernardino,7/29/2010,0.31,0.0,677.0,7.7,93.9,61.4,47.0,5.5,131.5,70.6
San Bernardino,7/30/2010,0.31,0.0,630.0,7.8,95.2,63.6,43.0,6.1,146.1,70.8
San Bernardino,7/31/2010,0.33,0.0,663.0,8.2,92.6,63.2,46.0,8.3,200.3,70.4
San Bernardino,8/1/2010,0.3,0.0,613.0,7.5,91.0,61.8,44.0,7.3,175.3,69.9
San Bernardino,8/2/2010,0.29,0.0,612.0,7.1,93.2,60.5,41.0,6.1,147.5,70.0
San Bernardino,8/3/2010,0.32,0.0,678.0,7.1,93.8,61.0,46.0,5.9,142.7,70.1
San Bernardino,8/4/2010,0.32,0.0,697.0,6.1,94.2,61.6,41.0,5.7,136.2,70.1
San Bernardino,8/5/2010,0.31,0.0,680.0,7.4,93.9,59.0,47.0,6.3,150.8,69.9
San Bernardino,8/6/2010,0.33,0.0,715.0,6.1,90.1,58.2,50.0,7.7,184.0,69.4
San Bernardino,8/7/2010,0.32,0.0,710.0,5.7,86.8,55.5,39.0,7.7,185.4,68.4
San Bernardino,8/8/2010,0.3,0.0,694.0,6.6,85.9,56.8,48.0,7.4,177.8,68.1
San Bernardino,8/9/2010,0.28,0.0,686.0,6.5,88.6,52.6,48.0,5.2,124.0,68.2
San Bernardino,8/10/2010,0.32,0.0,696.0,7.0,86.1,56.9,56.0,8.3,199.4,68.3
San Bernardino,8/11/2010,0.32,0.0,695.0,6.0,85.0,56.4,45.0,8.2,196.1,67.4
San Bernardino,8/12/2010,0.28,0.0,685.0,6.1,90.8,51.3,50.0,5.5,131.4,67.3
San Bernardino,8/13/2010,0.29,0.0,681.0,7.1,91.9,56.9,50.0,5.6,133.6,67.9
San Bernardino,8/14/2010,0.31,0.0,695.0,6.2,91.2,54.9,51.0,6.1,146.9,67.7
San Bernardino,8/15/2010,0.29,0.0,668.0,5.6,94.9,52.0,44.0,5.1,122.6,67.7
San Bernardino,8/16/2010,0.3,0.0,634.0,10.0,97.5,61.1,41.0,5.4,130.8,68.9
San Bernardino,8/17/2010,0.31,0.0,620.0,12.6,96.4,65.6,46.0,6.5,155.6,70.2
San Bernardino,8/18/2010,0.29,0.01,572.0,14.3,91.6,69.2,52.0,8.1,193.7,70.5
San Bernardino,8/19/2010,0.3,0.0,623.0,14.8,93.7,72.7,59.0,8.6,206.8,70.9
San Bernardino,8/20/2010,0.3,0.0,647.0,9.1,94.5,63.6,53.0,6.3,150.3,70.9
San Bernardino,8/21/2010,0.33,0.0,630.0,7.9,93.9,70.4,34.0,7.5,181.0,70.1
San Bernardino,8/22/2010,0.31,0.0,620.0,9.8,93.3,64.2,41.0,7.0,167.2,70.3
San Bernardino,8/23/2010,0.24,0.0,644.0,7.0,98.2,56.1,52.0,2.9,68.9,70.4
San Bernardino,8/24/2010,0.27,0.0,613.0,8.6,102.0,62.8,39.0,3.4,82.7,71.6
San Bernardino,8/25/2010,0.26,0.0,564.0,12.5,101.6,68.9,48.0,3.8,92.3,72.6
San Bernardino,8/26/2010,0.21,0.0,430.0,13.9,98.9,70.9,56.0,4.9,118.3,72.9
San Bernardino,8/27/2010,0.34,0.0,620.0,10.3,92.8,67.6,66.0,9.1,219.3,71.9
San Bernardino,8/28/2010,0.33,0.0,651.0,5.6,78.0,60.2,50.0,12.4,296.4,68.1
San Bernardino,8/29/2010,0.24,0.0,614.0,10.5,,53.1,75.0,8.0,192.7,67.2
San Bernardino,8/30/2010,0.22,0.0,614.0,9.8,81.4,53.3,76.0,6.6,158.7,67.1
San Bernardino,8/31/2010,0.21,0.0,617.0,8.9,87.4,50.8,75.0,3.0,71.5,68.0
San Bernardino,9/1/2010,0.23,0.0,612.0,8.2,93.5,55.4,63.0,3.1,74.8,69.4
San Bernardino,9/2/2010,0.24,0.0,610.0,6.9,97.4,58.1,44.0,3.2,77.4,70.2
San Bernardino,9/3/2010,0.25,0.0,618.0,6.6,99.0,59.8,41.0,3.6,86.1,70.7
San Bernardino,9/4/2010,0.28,0.0,613.0,6.5,97.5,60.5,40.0,4.9,117.9,70.5
San Bernardino,9/5/2010,0.28,0.0,607.0,7.1,93.3,58.9,44.0,5.8,140.1,69.7
San Bernardino,9/6/2010,0.25,0.0,596.0,8.1,94.7,56.2,53.0,4.6,110.0,69.5
San Bernardino,9/7/2010,0.26,0.0,571.0,10.8,92.4,60.5,64.0,6.7,160.6,69.9
San Bernardino,9/8/2010,0.23,0.0,589.0,11.2,74.8,55.1,76.0,10.5,252.1,68.3
San Bernardino,9/9/2010,0.2,0.0,590.0,9.4,76.6,52.0,76.0,6.4,153.8,66.7
San Bernardino,9/10/2010,0.2,0.0,595.0,8.0,86.2,45.5,85.0,3.1,73.5,67.2
San Bernardino,9/11/2010,0.23,0.0,587.0,7.2,88.4,51.9,60.0,4.2,99.9,67.9
San Bernardino,9/12/2010,0.25,0.0,573.0,8.2,89.5,56.7,59.0,5.2,123.9,68.1
San Bernardino,9/13/2010,0.25,0.0,563.0,9.6,88.5,62.1,44.0,5.8,139.9,68.1
San Bernardino,9/14/2010,0.26,0.0,571.0,9.3,86.0,63.0,48.0,7.4,178.4,68.1
San Bernardino,9/15/2010,0.23,0.0,578.0,7.3,87.1,55.8,55.0,5.0,121.1,67.6
San Bernardino,9/16/2010,0.21,0.0,571.0,6.1,91.0,49.6,56.0,3.5,85.0,67.4
San Bernardino,9/17/2010,0.25,0.0,577.0,5.2,87.2,53.5,53.0,5.4,129.0,67.3
